anio,min,max,mean,std,mediana,q_25,q_75
2018,5.0,3535.0,415.9273580073048,427.1932306648823,304.1744450786353,95.28198414414288,585.165710135916
2019,6.5,3779.0,433.0437143461677,446.19269623876954,308.3342012770806,89.96879665632092,614.9088513148196
2020,4.5,4082.0,419.92853136688984,463.66349863644314,273.5671229171501,69.35069732558769,622.0270789356746
2021,4.949999809265137,4082.0,423.06681670576035,488.6936998787896,251.1422966349656,58.79206001682925,618.1851381724307
2022,6.0,4104.83984375,456.22217053040606,524.1274870932108,273.0210769628947,62.98350712138747,685.3606931960662
2023,5.0,5040.0,492.4421948469058,571.9248106358804,278.6554610107877,65.1545344045239,732.550207897406
2024,7.010000228881836,5275.0,505.87775733751215,593.1053192858705,296.71413585796165,66.7063997230938,716.1351945498188
